"","Brand_Position","Audience","lead_rate_ovr","pred_lead_rate_ovr","tot_clicks","tot_leads"
"1","Advocacy","Privacy Practitioners",0.176470588235294,0.206807124140123,51,9
"2","Advocacy","Securities & Vulnerabilities",0.138888888888889,0.130235095340368,36,5
"3","Data Protection","Privacy Practitioners",0.179487179487179,0.27030473728434,39,7
"4","Data Protection","Securities & Vulnerabilities",0.304347826086957,0.20959062162634,46,14
"5","Digital Footprint","Privacy Practitioners",0.222222222222222,0.256739831478599,45,10
"6","Digital Footprint","Securities & Vulnerabilities",0.125,0.172339939080748,24,3
